<<<<<<< HEAD
5.70312086 0.08778987
5.81995175 0.09101504
5.92295288 0.09379627
6.02348993 0.09655983
6.10708109 0.09883226
6.23700258 0.10275011
6.34232388 0.10575369
6.45960662 0.10926409
6.57913965 0.11286339
6.68256957 0.11593142
6.81597047 0.12018153
6.90551243 0.12278933
7.00357583 0.12587643
7.11959457 0.12969449
7.22246601 0.13299117
7.32289275 0.13627357
7.40648154 0.13895958
7.50356867 0.14225916
7.63580332 0.14698401
7.75794033 0.15122146
7.86188182 0.15474788
7.94606885 0.15757882
8.05962172 0.16175908
8.17844982 0.16612552
8.29811535 0.170549
8.41804862 0.17500313
8.52154022 0.17879073
8.65491219 0.18400835
8.74444031 0.18722916
8.84248868 0.19101093
8.95846932 0.19566869
9.04489255 0.19894373
9.15879186 0.20362318
9.2776103 0.20850854
9.36453581 0.21187992
9.46210496 0.21590964
9.56157072 0.22007027
9.67788578 0.22506232
9.79708479 0.23018784
9.85118054 0.232111
9.97581278 0.237796
10.09649537 0.24315194
10.16726503 0.24597353
10.29486794 0.25189381
10.41606658 0.25738638
10.51977897 0.26198223
10.57115293 0.26393545
10.71159131 0.27085378
10.81872025 0.27576796
10.93637105 0.28131605
11.03937313 0.28610535
11.15626088 0.29173982
11.25920815 0.29661066
11.35958117 0.30144032
11.44315745 0.30539399
11.52377019 0.30928462
11.63656869 0.31508277
11.73874804 0.32019112
11.85550004 0.32616488
11.94193282 0.33037825
12.07223633 0.33729343
12.17756746 0.34263219
12.2783529 0.34781463
12.37840954 0.35302824
12.44553517 0.35631585
12.57230391 0.36339929
12.67698163 0.36896973
12.77774862 0.37435366
12.86131924 0.37875558
12.94184062 0.38308954
13.05471008 0.38950434
13.18962584 0.39723424
13.31217486 0.40407803
13.41609689 0.40978428
13.51661132 0.41541857
13.60019214 0.42004184
13.7299658 0.42779295
13.83508875 0.43381651
13.91950064 0.43855927
14.01661702 0.44428481
14.13229292 0.45128653
14.2185755 0.4562587
14.33241981 0.46322161
14.45107865 0.47048264
14.55431429 0.47666917
14.65475509 0.48275752
14.73823363 0.48775662
14.85156248 0.49495189
14.97019151 0.50245414
15.05691773 0.50770037
15.1708334 0.51502867
15.28953769 0.52266605
15.39267412 0.52919046
15.47672511 0.53442465
15.59010302 0.54193387
15.69227171 0.54858084
15.79254403 0.55513472
15.90879108 0.56292939
15.99508782 0.56848204
16.10891502 0.57623144
